lat;long;order;dialect
8.7740389;56.7089686;611;NV
8.7746398;56.7100521;612;NV
8.7755839;56.7108059;613;NV
8.778588;56.7118423;614;NV
8.778588;56.7125018;615;NV
8.7809912;56.7134439;616;NV
8.7829653;56.7147158;617;NV
8.7845103;56.715705;618;NV
8.7851969;56.716647;619;NV
8.7860552;56.7177774;620;NV
8.7876002;56.7185782;621;NV
8.7881152;56.7193317;622;NV
8.7900893;56.7198498;623;NV
8.7926642;56.7215453;624;NV
8.7941233;56.7231465;625;NV
8.7958399;56.7246535;626;NV
8.7976424;56.7253599;627;NV
8.7980715;56.7261134;628;NV
8.798844;56.7268668;629;NV
8.8029639;56.7276202;630;NV
8.8043372;56.7277615;631;NV
8.8072554;56.7284678;632;NV
8.8083712;56.7290799;633;NV
8.8104311;56.7293624;634;NV
8.8115469;56.7303512;635;NV
8.8135211;56.7319992;636;NV
8.8158385;56.7342591;637;NV
8.8183276;56.734777;638;NV
8.8194434;56.7351536;639;NV
8.8224474;56.7365189;640;NV
8.8238207;56.7376016;641;NV
8.8269106;56.7385431;642;NV
8.8286273;56.739108;643;NV
8.8310305;56.7395317;644;NV
8.8309447;56.7409439;645;NV
8.8284556;56.743062;646;NV
8.8293139;56.7462626;647;NV
8.8303439;56.7474863;648;NV
8.833658;56.7496188;649;NV
8.8342159;56.7498776;650;NV
8.8353961;56.7500776;651;NV
8.8365977;56.7501482;652;NV
8.8368981;56.7500423;653;NV
8.8370268;56.7501364;654;NV
8.8371556;56.7505012;655;NV
8.8379281;56.7506776;656;NV
8.8389151;56.7506776;657;NV
8.8393443;56.75056;658;NV
8.8398163;56.75016;659;NV
8.840267;56.7499835;660;NV
8.8404815;56.7496658;661;NV
8.8408255;56.7498453;662;NV
8.8403106;56.7502218;663;NV
8.8398814;56.7509748;664;NV
8.8407397;56.7520101;665;NV
8.8409972;56.7525277;666;NV
8.8408255;56.7529983;667;NV
8.8401389;56.7529512;668;NV
8.8391089;56.7541747;669;NV
8.8386798;56.755351;670;NV
8.8379931;56.7566685;671;NV
8.8384223;56.7571861;672;NV
8.8386798;56.7598679;673;NV
8.8396239;56.7606207;674;NV
8.8398814;56.76095;675;NV
8.8391089;56.7614675;676;NV
8.8374782;56.7611852;677;NV
8.8361907;56.7620791;678;NV
8.8354182;56.7636786;679;NV
8.8367915;56.7637256;680;NV
8.8383365;56.7651369;681;NV
8.8395381;56.7668304;682;NV
8.8398814;56.7697467;683;NV
8.8414264;56.7709696;684;NV
8.843143;56.774544;685;NV
8.8453746;56.7756727;686;NV
8.8484645;56.7764252;687;NV
8.8518977;56.7766133;688;NV
8.8525844;56.7778359;689;NV
8.8561986;56.7786575;690;NV
8.8588594;56.7790807;691;NV
8.8606618;56.7793159;692;NV
8.861091;56.7801153;693;NV
8.8622068;56.7803504;694;NV
8.864095;56.7809617;695;NV
8.8650392;56.7819961;696;NV
8.8654683;56.7828425;697;NV
8.8652967;56.7840649;698;NV
8.8620351;56.7848172;699;NV
8.8571428;56.7858986;700;NV
8.8545678;56.787074;701;NV
8.8541387;56.7887194;702;NV
8.8545678;56.7911169;703;NV
8.8547395;56.7921981;704;NV
8.8561986;56.7926212;705;NV
8.8589452;56.7927622;706;NV
8.8604902;56.7918691;707;NV
8.8624643;56.7919161;708;NV
8.8633226;56.791305;709;NV
8.8643525;56.7921041;710;NV
8.8684724;56.791634;711;NV
8.8647817;56.7926682;712;NV
8.8657258;56.7952535;713;NV
8.8689874;56.7949245;714;NV
8.8711332;56.7951595;715;NV
8.8721631;56.7945954;716;NV
8.8742231;56.7923392;717;NV
8.8753389;56.7899887;718;NV
8.8753389;56.7889075;719;NV
8.8771413;56.7878262;720;NV
8.8764547;56.7861337;721;NV
8.875768;56.7861807;722;NV
8.8754247;56.7857575;723;NV
8.8769696;56.7837828;724;NV
8.8776563;56.7840179;725;NV
8.8782571;56.7868859;726;NV
8.8787721;56.7893306;727;NV
8.8798021;56.7931383;728;NV
8.8793729;56.7951595;729;NV
8.8783429;56.7978856;730;NV
8.8780854;56.8007995;731;NV
8.8774846;56.8017864;732;NV
8.874738;56.8062038;733;NV
8.8724206;56.8080833;734;NV
8.8636659;56.8120301;735;NV
8.8626359;56.8133455;736;NV
8.8564561;56.8165401;737;NV
8.849418;56.8236799;738;NV
8.8446115;56.8296914;739;NV
8.8415216;56.834481;740;NV
8.8400108;56.8416745;741;NV
8.8400108;56.8455239;742;NV
8.8400108;56.8492789;743;NV
8.8389808;56.8523766;744;NV
8.8364059;56.854817;745;NV
8.8346893;56.8579141;746;NV
8.832286;56.860448;747;NV
8.8280803;56.8635447;748;NV
8.827737;56.8648584;749;NV
8.8280803;56.8663597;750;NV
8.8291103;56.8679079;751;NV
8.8285953;56.869972;752;NV
8.8312561;56.8721298;753;NV
8.8315994;56.8727864;754;NV
8.8346035;56.8746158;755;NV
8.8351184;56.8758352;756;NV
8.8365776;56.8768671;757;NV
8.838895;56.8778989;758;NV
8.8403541;56.8787431;759;NV
8.8412124;56.8790245;760;NV
8.8426715;56.8789307;761;NV
8.8440448;56.8790245;762;NV
8.8430149;56.88015;763;NV
8.8432724;56.8812287;764;NV
8.8417274;56.8825886;765;NV
8.8414699;56.8831513;766;NV
8.8423282;56.8842299;767;NV
8.8440448;56.8856366;768;NV
8.8448173;56.885449;769;NV
8.8458473;56.8856835;770;NV
8.8464481;56.8861993;771;NV
8.8473064;56.8859179;772;NV
8.8507396;56.8866213;773;NV
8.8512546;56.8872308;774;NV
8.8520271;56.8872308;775;NV
8.8527996;56.8867151;776;NV
8.8534862;56.886762;777;NV
8.8538295;56.8872308;778;NV
8.8547737;56.887184;779;NV
8.8565761;56.8869964;780;NV
8.8579494;56.8866213;781;NV
8.8589794;56.8871371;782;NV
8.8600952;56.8869964;783;NV
8.8618976;56.8860586;784;NV
8.8634426;56.8852146;785;NV
8.8643867;56.8842299;786;NV
8.8632709;56.8828231;787;NV
8.8630134;56.88151;788;NV
8.8618976;56.8805721;789;NV
8.8628417;56.8798687;790;NV
8.865245;56.8786493;791;NV
8.8700515;56.8771485;792;NV
8.870824;56.876445;793;NV
8.871854;56.8765388;794;NV
8.8714248;56.8774299;795;NV
8.8719398;56.8778051;796;NV
8.8733989;56.8784617;797;NV
8.8733989;56.8789776;798;NV
8.8704807;56.8785086;799;NV
8.869794;56.8790714;800;NV
8.871854;56.8796342;801;NV
8.8744289;56.8805721;802;NV
8.8787204;56.8823541;803;NV
8.8826686;56.8816976;804;NV
8.8850719;56.8816976;805;NV
8.8866168;56.8809473;806;NV
8.8859302;56.879728;807;NV
8.8845569;56.8779458;808;NV
8.8869602;56.8754131;809;NV
8.8873035;56.8742874;810;NV
8.8857585;56.8736308;811;NV
8.8871318;56.8719421;812;NV
8.8885051;56.8686585;813;NV
8.8886768;56.8668758;814;NV
8.8878185;56.8649053;815;NV
8.8854152;56.8626533;816;NV
8.8849002;56.8608703;817;NV
8.8879901;56.8622779;818;NV
8.8907367;56.86453;819;NV
8.891595;56.8658436;820;NV
8.8914234;56.8679079;821;NV
8.8924533;56.869972;822;NV
8.8934833;56.8729741;823;NV
8.8960582;56.876445;824;NV
8.8969165;56.879259;825;NV
8.8984615;56.8829169;826;NV
8.8998348;56.8858242;827;NV
8.9003498;56.8889188;828;NV
8.9036113;56.8918256;829;NV
